File ID,Code,Kbook ID,Barry,Mislabeled,comma,Library,Path,Filename,Artist,Song
5423,SC2515-06,10120,0,0,1,Sound Choice,SC2000/2500/SC2515,"SC2515-06 - Hill, Faith - Lucky One, The","Hill, Faith","Lucky One, The"
11297,SC3454-05,10121,0,0,1,Sound Choice,SC3000/3450/SC3454,"SC3454-05 - Hill, Faith - Lucky One, The","Hill, Faith","Lucky One, The"
7160,SC3139-05,10122,0,0,1,Sound Choice,SC3000/3100/SC3139,"SC3139-05 - Hill, Faith - Secret Of Life","Hill, Faith",Secret Of Life
11263,SC3452-03,10123,0,0,1,Sound Choice,SC3000/3450/SC3452,"SC3452-03 - Hill, Faith - Stealing Kisses","Hill, Faith",Stealing Kisses
9779,SC3350-03,10124,0,0,1,Sound Choice,SC3000/3300/SC3350,"SC3350-03 - Hill, Faith - Stronger","Hill, Faith",Stronger
9827,SC3353-03,10125,0,0,1,Sound Choice,SC3000/3350/SC3353,"SC3353-03 - Hill, Faith - Stronger","Hill, Faith",Stronger
5419,SC2515-02,10126,0,0,1,Sound Choice,SC2000/2500/SC2515,"SC2515-02 - Hill, Faith - Sunshine & Summertime","Hill, Faith",Sunshine & Summertime
11463,SC3465-01,10127,0,0,1,Sound Choice,SC3000/3450/SC3465,"SC3465-01 - Hill, Faith - Sunshine And Summertime","Hill, Faith",Sunshine And Summertime
7554,SC3188-07,10128,0,0,1,Sound Choice,SC3000/3150/SC3188,"SC3188-07 - Hill, Faith - That's How Love Moves","Hill, Faith",That's How Love Moves
14962,SC8602-14,10129,0,0,1,Sound Choice,SC8000/8600/SC8602,"SC8602-14 - Hill, Faith - That's How Love Moves","Hill, Faith",That's How Love Moves
15701,SC8652-02,10130,0,0,1,Sound Choice,SC8000/8650/SC8652,"SC8652-02 - Hill, Faith - There Will Come A Day","Hill, Faith",There Will Come A Day
157,SC1009-04,10131,0,0,1,Sound Choice,SC1000/1000/SC1009 - Country Hits Pack2,"SC1009-04 - Hill, Faith - There You'll Be","Hill, Faith",There You'll Be
4386,SC2402-06,10132,0,0,1,Sound Choice,SC2000/2400/Sc2402,"Sc2402-06_-_There_You'll_Be_-_Hill,_Faith_-_(SC)","Hill, Faith",There You'll Be
8583,SC3261-06,10133,0,0,1,Sound Choice,SC3000/3250/SC3261,"SC3261-06 - There You'll Be - Hill, Faith","Hill, Faith",There You'll Be
6303,SC3062-04,10134,0,0,1,Sound Choice,SC3000/3050/SC3062,"SC3062-04 - This Kiss - Hill, Faith","Hill, Faith",This Kiss
12170,SC7221-13,10135,0,0,1,Sound Choice,SC7000/7200/sc7221,"SC7221_13 - This Kiss - Hill, Faith","Hill, Faith",This Kiss
13057,SC8006-11,10136,0,0,1,Sound Choice,SC8000/8000/SC8006,"SC8006-11 - Hill, Faith - This Kiss","Hill, Faith",This Kiss
13223,SC8027-04,10137,0,0,1,Sound Choice,SC8000/8000/SC8027,"SC8027-04 - Hill, Faith - This Kiss","Hill, Faith",This Kiss
13383,SC8037-04,10138,0,0,1,Sound Choice,SC8000/8000/SC8037,"SC8037-04 - Hill, Faith - This Kiss","Hill, Faith",This Kiss
7505,SC3182-06,10139,0,0,1,Sound Choice,SC3000/3150/SC3182,"SC3182-06 - Hill, Faith - Way You Love Me","Hill, Faith",Way You Love Me
13637,SC8061-01,10140,0,0,1,Sound Choice,SC8000/8050/SC8061 - Country Hits Pack,"SC8061-01 - Hill, Faith - Way You Love Me, The","Hill, Faith","Way You Love Me, The"
13886,SC8092-03,10141,0,0,1,Sound Choice,SC8000/8050/SC8092  - Teen Pack #3,"SC8092-03 - Hill, Faith - Way You Love Me, The","Hill, Faith","Way You Love Me, The"
9703,SC3345-08,10142,0,0,1,Sound Choice,SC3000/3300/SC3345,"SC3345-08 - Hill, Faith - When The Lights Go Down","Hill, Faith",When The Lights Go Down
9719,SC3346-08,10143,0,0,1,Sound Choice,SC3000/3300/SC3346,"SC3346-08 - Hill, Faith - When The Lights Go Down","Hill, Faith",When The Lights Go Down
10059,SC3367-06,10144,0,0,1,Sound Choice,SC3000/3350/SC3367,"SC3367-06 - Hill, Faith - You're Still Here","Hill, Faith",You're Still Here
141,SC1008-04,10145,0,0,1,Sound Choice,SC1000/1000/SC1008 - Country Hits Pack2,"SC1008-04 - Hill, Faith & Tim McGraw - Angry All The Time","Hill, Faith & Tim Mcgraw",Angry All The Time
6515,SC3075-08,10146,0,0,1,Sound Choice,SC3000/3050/SC3075,"SC3075-08 - Just To Hear You Say That You Love Me - Hill, Faith & Tim McGraw","Hill, Faith & Tim Mcgraw",Just To Hear You Say That You Love Me
7441,SC3174-06,10147,0,0,1,Sound Choice,SC3000/3150/SC3174,"SC3174-06 - Hill, Faith & Tim McGraw - Let's Make Love","Hill, Faith & Tim Mcgraw",Let's Make Love
7252,SC3151-01,10148,0,0,1,Sound Choice,SC3000/3150/SC3151,"SC3151-01 - Hill, Lauryn - Everything Is Everything","Hill, Lauryn",Everything Is Everything
7065,SC3127-06,10149,0,0,1,Sound Choice,SC3000/3100/SC3127,"SC3127-06 - Hill, Lauryn - Ex-Factor","Hill, Lauryn",Ex-factor
26169,SFKK36-02,10150,0,0,0,Sunfly,SFKK Kool/000/Sunfly Karaoke Kool 36,SFKK36-02 - Hilltop Hoods - Chase That Feeling,Hilltop Hoods,Chase That Feeling
26171,SFKK36-04,10151,0,0,1,Sunfly,SFKK Kool/000/Sunfly Karaoke Kool 36,"SFKK36-04 - Hilson, Keri & Kayne West & Ne-Yo - Knock You Down","Hilson, Keri & Kayne West & Ne-yo",Knock You Down
22420,SF246-15,10152,0,0,1,Sunfly,SF Hits/200/SF 246,"SF246-15 Stars Are Blind - Hilton, Paris","Hilton, Paris",Stars Are Blind
25760,SFKK11-02,10153,0,0,1,Sunfly,SFKK Kool/000/Sunfly Karaoke Kool 11,"SFKK11-02 - Hilton, Paris - Stars Are Blind","Hilton, Paris",Stars Are Blind
25829,SFKK15-02,10154,0,0,0,Sunfly,SFKK Kool/000/Sunfly Karaoke Kool 15,SFKK15-02 - Hinder - Lips Of An Angel,Hinder,Lips Of An Angel
19100,SF029-11,10155,0,0,0,Sunfly,SF Hits/000/SF 029,sf029-11 - hit me with your rhythm stick - dury & blockheads,Hit Me With Your Rhythm Stick,Dury & Blockheads
10123,SC3371-06,10156,0,0,0,Sound Choice,SC3000/3350/SC3371,SC3371-06 - Hitman Sammy Sam - Step Daddy,Hitman Sammy Sam,Step Daddy
16826,SC8803-08,10157,0,0,0,Sound Choice,SC8000/8800/sc8803,HATE TO SAY I TOLD YOU SO - HIVES - SC8803-08,Hives,Hate To Say I Told You So
17780,SC8883-09,10158,0,0,0,Sound Choice,SC8000/8850/Sc8883,WALK IDIOT WALK - HIVES - SC8883-09,Hives,Walk Idiot Walk
9359,SC3324-01,10159,1,0,1,Sound Choice,SC3000/3300/SC3324,"SC3324-01 - Hives, The - Hate To Say I Told You So","Hives, The",Hate To Say I Told You So
10829,SC3415-02,10160,0,0,1,Sound Choice,SC3000/3400/SC3415,"SC3415-02 - Hives, The - Walk Idiot Walk","Hives, The",Walk Idiot Walk
4434,SC2419-02,10161,0,0,1,Sound Choice,SC2000/2400/Sc2419,"SC2419-02_-_Hukilau_Song,_The_-_Ho,_Don","Ho, Don","Hukilau Song, The"
4437,SC2419-05,10162,0,0,1,Sound Choice,SC2000/2400/Sc2419,"SC2419-05_-_Tiny_Bubbles_-_Ho,_Don","Ho, Don",Tiny Bubbles
13271,SC8030-04,10163,0,0,1,Sound Choice,SC8000/8000/SC8030,"SC8030-04 - Ho, Don - Tiny Bubbles","Ho, Don",Tiny Bubbles
22903,SF278-08,10164,0,0,0,Sunfly,SF Hits/250/SF 278,SF278-08-Hockey-Too Fake,Hockey,Too Fake
7756,SC3207-03,10165,0,0,1,Sound Choice,SC3000/3200/SC3207,"SC3207-03 - Hoffman, Billy - Perfect Night","Hoffman, Billy",Perfect Night
8234,SC3239-06,10166,0,0,1,Sound Choice,SC3000/3200/SC3239,"SC3239-06 - Hoffman, Billy - You're The Ticket","Hoffman, Billy",You're The Ticket
